"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2020 Tour De France","2020","Tour De France","1",NA,"KOM Sprint (3) Côte de Rimiez","Mountain Sprint (3)"," Fabien Grellier","Team Total Direct Energie","1","2","0"
"2","2020 Tour De France","2020","Tour De France","1",NA,"KOM Sprint (3) Côte de Rimiez","Mountain Sprint (3)"," Cyril Gautier","B&B Hotels - Vital Concept p/b KTM","2","1","0"
"3","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Michael Schär","CCC Team","1","0","20"
"4","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Cyril Gautier","B&B Hotels - Vital Concept p/b KTM","2","0","17"
"5","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Fabien Grellier","Team Total Direct Energie","3","0","15"
"6","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Peter Sagan","BORA - hansgrohe","4","0","13"
"7","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Matteo Trentin","CCC Team","5","0","11"
"8","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Sam Bennett","Deceuninck - Quick Step","6","0","10"
"9","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Alexander Kristoff","UAE Team Emirates","7","0","9"
"10","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Bryan Coquard","B&B Hotels - Vital Concept p/b KTM","8","0","8"
"11","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Luka Mezgec","Mitchelton-Scott","9","0","7"
"12","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Christopher Juul-Jensen","Mitchelton-Scott","10","0","6"
"13","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Daniel Oss","BORA - hansgrohe","11","0","5"
"14","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Nicolas Edet","Cofidis","12","0","4"
"15","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Edward Theuns","Trek - Segafredo","13","0","3"
"16","2020 Tour De France","2020","Tour De France","1",NA,"Sprint | Nice","Intermediate Sprint"," Gregor Mühlberger","BORA - hansgrohe","14","0","2"
