"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2017 Giro D Italia","2017","Giro D Italia","1",68.4,"KOM Sprint (4) Multeddu (68.4 km)","KOM Sprint Cat4"," Cesare Benedetti","BORA - hansgrohe","1","3","0"
"2","2017 Giro D Italia","2017","Giro D Italia","1",68.4,"KOM Sprint (4) Multeddu (68.4 km)","KOM Sprint Cat4"," Eugert Zhupa","Wilier Triestina - Selle Italia","2","2","0"
"3","2017 Giro D Italia","2017","Giro D Italia","1",68.4,"KOM Sprint (4) Multeddu (68.4 km)","KOM Sprint Cat4"," Marcin Białobłocki","CCC Sprandi Polkowice ","3","1","0"
"4","2017 Giro D Italia","2017","Giro D Italia","1",NA,"KOM Sprint (4) Trinit","KOM Sprint Cat4"," Cesare Benedetti","BORA - hansgrohe","1","3","0"
"5","2017 Giro D Italia","2017","Giro D Italia","1",NA,"KOM Sprint (4) Trinit","KOM Sprint Cat4"," Eugert Zhupa","Wilier Triestina - Selle Italia","2","2","0"
"6","2017 Giro D Italia","2017","Giro D Italia","1",NA,"KOM Sprint (4) Trinit","KOM Sprint Cat4"," Daniel Teklehaimanot","Team Dimension Data","3","1","0"
"7","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Eugert Zhupa","Wilier Triestina - Selle Italia","1","0","20"
"8","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Daniel Teklehaimanot","Team Dimension Data","2","0","12"
"9","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Marcin Białobłocki","CCC Sprandi Polkowice ","3","0","8"
"10","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Pavel Brutt","Gazprom-RusVelo","4","0","6"
"11","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Cesare Benedetti","BORA - hansgrohe","5","0","4"
"12","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Kristian Sbaragli","Team Dimension Data","6","0","3"
"13","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Nathan Haas","Team Dimension Data","7","0","2"
"14","2017 Giro D Italia","2017","Giro D Italia","1",135.9,"Sprint | Santa Teresa di Gallura (135.9 km)","Intermediate Sprint"," Lars Ytting Bak","Lotto Soudal","8","0","1"
"15","2017 Giro D Italia","2017","Giro D Italia","1",173.7,"Sprint | Cannigione (173.7 km)","Intermediate Sprint"," Daniel Teklehaimanot","Team Dimension Data","1","0","20"
"16","2017 Giro D Italia","2017","Giro D Italia","1",173.7,"Sprint | Cannigione (173.7 km)","Intermediate Sprint"," Pavel Brutt","Gazprom-RusVelo","2","0","12"
"17","2017 Giro D Italia","2017","Giro D Italia","1",173.7,"Sprint | Cannigione (173.7 km)","Intermediate Sprint"," Eugert Zhupa","Wilier Triestina - Selle Italia","3","0","8"
"18","2017 Giro D Italia","2017","Giro D Italia","1",173.7,"Sprint | Cannigione (173.7 km)","Intermediate Sprint"," Cesare Benedetti","BORA - hansgrohe","4","0","6"
"19","2017 Giro D Italia","2017","Giro D Italia","1",173.7,"Sprint | Cannigione (173.7 km)","Intermediate Sprint"," Marcin Białobłocki","CCC Sprandi Polkowice ","5","0","4"
