"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2015 Vuelta A Espana","2015","Vuelta A Espana","2",113,"KOM Sprint (3) Alto de Ardales (113 km)","Mountain Sprint (3)"," Wálter Fernando Pedraza","Team Colombia","1",3,0
"2","2015 Vuelta A Espana","2015","Vuelta A Espana","2",113,"KOM Sprint (3) Alto de Ardales (113 km)","Mountain Sprint (3)"," Davide Villella","Team Cannondale - Garmin ","2",2,0
"3","2015 Vuelta A Espana","2015","Vuelta A Espana","2",113,"KOM Sprint (3) Alto de Ardales (113 km)","Mountain Sprint (3)"," Bert-Jan Lindeman","Team LottoNL-Jumbo","3",1,0
"4","2015 Vuelta A Espana","2015","Vuelta A Espana","2",NA,"Sprint | ","Intermediate Sprint"," José Gonçalves","Caja Rural - Seguros RGA","1",0,4
"5","2015 Vuelta A Espana","2015","Vuelta A Espana","2",NA,"Sprint | ","Intermediate Sprint"," Alejandro Valverde","Movistar Team","2",0,2
"6","2015 Vuelta A Espana","2015","Vuelta A Espana","2",NA,"Sprint | ","Intermediate Sprint"," Joaquim Rodríguez","Team Katusha ","3",0,1
"7","2015 Vuelta A Espana","2015","Vuelta A Espana","2",158.7,"KOM Sprint (3) Caminito del Rey (158.7 km)","Mountain Sprint (3)"," Esteban Chaves","Orica GreenEDGE","1",3,0
"8","2015 Vuelta A Espana","2015","Vuelta A Espana","2",158.7,"KOM Sprint (3) Caminito del Rey (158.7 km)","Mountain Sprint (3)"," Tom Dumoulin","Team Giant - Alpecin","2",2,0
"9","2015 Vuelta A Espana","2015","Vuelta A Espana","2",158.7,"KOM Sprint (3) Caminito del Rey (158.7 km)","Mountain Sprint (3)"," Nicolas Roche","Team Sky","3",1,0
"10","2015 Vuelta A Espana","2015","Vuelta A Espana","3",16.1,"KOM Sprint (3) Alto de Mijas (16.1 km)","Mountain Sprint (3)"," Omar Fraile","Caja Rural - Seguros RGA","1",3,0
"11","2015 Vuelta A Espana","2015","Vuelta A Espana","3",16.1,"KOM Sprint (3) Alto de Mijas (16.1 km)","Mountain Sprint (3)"," Sylvain Chavanel","IAM Cycling","2",2,0
"12","2015 Vuelta A Espana","2015","Vuelta A Espana","3",16.1,"KOM Sprint (3) Alto de Mijas (16.1 km)","Mountain Sprint (3)"," Natnael Berhane","MTN - Qhubeka","3",1,0
"13","2015 Vuelta A Espana","2015","Vuelta A Espana","3",NA,"KOM Sprint (1) Puerto del Le","Mountain Sprint (1)"," Omar Fraile","Caja Rural - Seguros RGA","1",10,0
"14","2015 Vuelta A Espana","2015","Vuelta A Espana","3",NA,"KOM Sprint (1) Puerto del Le","Mountain Sprint (1)"," Natnael Berhane","MTN - Qhubeka","2",6,0
"15","2015 Vuelta A Espana","2015","Vuelta A Espana","3",NA,"KOM Sprint (1) Puerto del Le","Mountain Sprint (1)"," Wálter Fernando Pedraza","Team Colombia","3",4,0
"16","2015 Vuelta A Espana","2015","Vuelta A Espana","3",NA,"KOM Sprint (1) Puerto del Le","Mountain Sprint (1)"," Sylvain Chavanel","IAM Cycling","4",2,0
"17","2015 Vuelta A Espana","2015","Vuelta A Espana","3",NA,"KOM Sprint (1) Puerto del Le","Mountain Sprint (1)"," Alexis Gougeard","AG2R La Mondiale","5",1,0
"18","2015 Vuelta A Espana","2015","Vuelta A Espana","3",124.2,"Sprint | Torre del Mar (124.2 km)","Intermediate Sprint"," Sylvain Chavanel","IAM Cycling","1",0,4
"19","2015 Vuelta A Espana","2015","Vuelta A Espana","3",124.2,"Sprint | Torre del Mar (124.2 km)","Intermediate Sprint"," Maarten Tjallingii","Team LottoNL-Jumbo","2",0,2
"20","2015 Vuelta A Espana","2015","Vuelta A Espana","3",124.2,"Sprint | Torre del Mar (124.2 km)","Intermediate Sprint"," Alexis Gougeard","AG2R La Mondiale","3",0,1
"21","2015 Vuelta A Espana","2015","Vuelta A Espana","4",177.5,"Sprint | Chiclana de la Frontera (177.5 km)","Intermediate Sprint"," Mickaël Delage","FDJ","1",0,4
"22","2015 Vuelta A Espana","2015","Vuelta A Espana","4",177.5,"Sprint | Chiclana de la Frontera (177.5 km)","Intermediate Sprint"," Kristijan Đurasek","Lampre - Merida","2",0,2
"23","2015 Vuelta A Espana","2015","Vuelta A Espana","4",177.5,"Sprint | Chiclana de la Frontera (177.5 km)","Intermediate Sprint"," Markel Irizar","Trek Factory Racing ","3",0,1
