"","season_race","season","race","stage","distance","event_data","event","rider_name","team_name","event_rank","kom_points","intermediate_points"
"1","2021 Giro D Italia","2021","Giro D Italia","2",95.2,"KOM Sprint (4) Montechiaro d'Asti (95.2 km)","KOM Sprint Cat4"," Vincenzo Albanese","EOLO-Kometa","1","3","0"
"2","2021 Giro D Italia","2021","Giro D Italia","2",95.2,"KOM Sprint (4) Montechiaro d'Asti (95.2 km)","KOM Sprint Cat4"," Filippo Tagliani","Androni Giocattoli - Sidermec","2","2","0"
"3","2021 Giro D Italia","2021","Giro D Italia","2",95.2,"KOM Sprint (4) Montechiaro d'Asti (95.2 km)","KOM Sprint Cat4"," Umberto Marengo","Bardiani-CSF-Faizanè","3","1","0"
"4","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Filippo Tagliani","Androni Giocattoli - Sidermec","1","0","12"
"5","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Umberto Marengo","Bardiani-CSF-Faizanè","2","0","8"
"6","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Fernando Gaviria","UAE Team Emirates","3","0","6"
"7","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Elia Viviani","Cofidis","4","0","5"
"8","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Andrea Pasqualon","Intermarché - Wanty - Gobert Matériaux","5","0","4"
"9","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Peter Sagan","BORA - hansgrohe","6","0","3"
"10","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Maximiliano Richeze","UAE Team Emirates","7","0","2"
"11","2021 Giro D Italia","2021","Giro D Italia","2",139.6,"Sprint | Tricerro (139.6 km)","Intermediate Sprint"," Riccardo Minali","Intermarché - Wanty - Gobert Matériaux","8","0","1"
"12","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Simon Pellaud","Androni Giocattoli - Sidermec","1","0","12"
"13","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Samuele Zoccarato","Bardiani-CSF-Faizanè","2","0","8"
"14","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Samuele Rivi","EOLO-Kometa","3","0","6"
"15","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Vincenzo Albanese","EOLO-Kometa","4","0","5"
"16","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Andrii Ponomar","Androni Giocattoli - Sidermec","5","0","4"
"17","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Taco van der Hoorn","Intermarché - Wanty - Gobert Matériaux","6","0","3"
"18","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Alexis Gougeard","AG2R Citroën Team","7","0","2"
"19","2021 Giro D Italia","2021","Giro D Italia","3",114,"Sprint | Canelli (114 km)","Intermediate Sprint"," Lars van den Berg","Groupama - FDJ","8","0","1"
"20","2021 Giro D Italia","2021","Giro D Italia","3",122.2,"KOM Sprint (3) Piancanelli (122.2 km)","KOM Sprint Cat3"," Vincenzo Albanese","EOLO-Kometa","1","9","0"
"21","2021 Giro D Italia","2021","Giro D Italia","3",122.2,"KOM Sprint (3) Piancanelli (122.2 km)","KOM Sprint Cat3"," Lars van den Berg","Groupama - FDJ","2","4","0"
"22","2021 Giro D Italia","2021","Giro D Italia","3",122.2,"KOM Sprint (3) Piancanelli (122.2 km)","KOM Sprint Cat3"," Simon Pellaud","Androni Giocattoli - Sidermec","3","2","0"
"23","2021 Giro D Italia","2021","Giro D Italia","3",122.2,"KOM Sprint (3) Piancanelli (122.2 km)","KOM Sprint Cat3"," Alexis Gougeard","AG2R Citroën Team","4","1","0"
"24","2021 Giro D Italia","2021","Giro D Italia","3",144.5,"KOM Sprint (4) Castino (144.5 km)","KOM Sprint Cat4"," Vincenzo Albanese","EOLO-Kometa","1","3","0"
"25","2021 Giro D Italia","2021","Giro D Italia","3",144.5,"KOM Sprint (4) Castino (144.5 km)","KOM Sprint Cat4"," Lars van den Berg","Groupama - FDJ","2","2","0"
"26","2021 Giro D Italia","2021","Giro D Italia","3",144.5,"KOM Sprint (4) Castino (144.5 km)","KOM Sprint Cat4"," Simon Pellaud","Androni Giocattoli - Sidermec","3","1","0"
"27","2021 Giro D Italia","2021","Giro D Italia","3",153.8,"KOM Sprint (4) Manera (153.8 km)","KOM Sprint Cat4"," Simon Pellaud","Androni Giocattoli - Sidermec","1","3","0"
"28","2021 Giro D Italia","2021","Giro D Italia","3",153.8,"KOM Sprint (4) Manera (153.8 km)","KOM Sprint Cat4"," Samuele Zoccarato","Bardiani-CSF-Faizanè","2","2","0"
"29","2021 Giro D Italia","2021","Giro D Italia","3",153.8,"KOM Sprint (4) Manera (153.8 km)","KOM Sprint Cat4"," Vincenzo Albanese","EOLO-Kometa","3","1","0"
"30","2021 Giro D Italia","2021","Giro D Italia","4",86.8,"Sprint | Rossena (86.8 km)","Intermediate Sprint"," Filippo Tagliani","Androni Giocattoli - Sidermec","1","0","12"
"31","2021 Giro D Italia","2021","Giro D Italia","4",86.8,"Sprint | Rossena (86.8 km)","Intermediate Sprint"," Nicola Venchiarutti","Androni Giocattoli - Sidermec","2","0","8"
"32","2021 Giro D Italia","2021","Giro D Italia","4",86.8,"Sprint | Rossena (86.8 km)","Intermediate Sprint"," Filippo Fiorelli","Bardiani-CSF-Faizanè","3","0","6"
"33","2021 Giro D Italia","2021","Giro D Italia","4",86.8,"Sprint | Rossena (86.8 km)","Intermediate Sprint"," Alessandro De Marchi","Israel Start-Up Nation","4","0","5"
