,Season_fc_Race_ID,Season,Date,Date_Start,Date_End,fc_Race_ID,fc_Race_Name,Category,Gender,fc_Race_Location_Code,fc_Race_Winner_Rider_ID,Race_Winner_Name
129,2023_360,2023,30.03,2023/03/30,2023/03/30,360,CC Oceania ITT-U23,CCUT,Men,UCI,167283,Brady Gilmore
130,2023_9350,2023,30.03,2023/03/30,2023/03/30,9350,CC Oceania ITT-U23,CCUT,Women,UCI,167242,Isabelle Carnes
131,2023_134,2023,31.03,2023/03/31,2023/03/31,134,Route Adélie de Vitré,1.1,Men,FRA,66347,Fredrik Dversnes
132,2023_126,2023,01.04,2023/04/01,2023/04/01,126,Volta Limburg Classic,1.1,Men,NED,61988,Kaden Groves
133,2023_48,2023,01.04,2023/04/01,2023/04/01,48,GP Miguel Indurain,1.Pro,Men,ESP,2977,Ion Izagirre
134,2023_507,2023,01.04-06.04,2023/04/01,2023/04/06,507,Tour of Thailand,2.1,Men,THA,44411,Tegshbayar Batsaikhan
135,2023_357,2023,01.04,2023/04/01,2023/04/01,357,CC Oceania RR,CCRR,Men,UCI,90919,Liam Walsh
136,2023_9348,2023,01.04,2023/04/01,2023/04/01,9348,CC Oceania RR,CCRR,Women,UCI,96038,Sophie Edwards
137,2023_297,2023,02.04,2023/04/02,2023/04/02,297,Trofeo PIVA,1.2U,Men,ITA,119792,Giacomo Villa
138,2023_5,2023,02.04,2023/04/02,2023/04/02,5,Ronde van Vlaanderen,1.UWT,Men,BEL,45992,Tadej Pogacar
139,2023_9049,2023,02.04,2023/04/02,2023/04/02,9049,Ronde van Vlaanderen,1.WWT,Women,BEL,89883,Lotte Kopecky
140,2023_6,2023,03.04-08.04,2023/04/03,2023/04/08,6,Itzulia Basque Country,2.UWT,Men,ESP,38195,Jonas Vingegaard
141,2023_217,2023,04.04-07.04,2023/04/04,2023/04/07,217,Pays de la Loire Tour,2.1,Men,FRA,7572,Alexander Kamp
142,2023_14856,2023,05.04,2023/04/05,2023/04/05,14856,Scheldeprijs Vrouwen Elite,1.1,Women,BEL,90120,Lorena Wiebes
143,2023_56,2023,05.04,2023/04/05,2023/04/05,56,Scheldeprijs,1.Pro,Men,BEL,45363,Jasper Philipsen
144,2023_293,2023,06.04-09.04,2023/04/06,2023/04/09,293,Circuit des Ardennes,2.2,Men,FRA,47878,Mathias Bregnhøj
145,2023_13853,2023,08.04,2023/04/08,2023/04/08,13853,Paris-Roubaix Femmes,1.WWT,Women,FRA,89488,Alison Jackson
146,2023_9545,2023,08.04-10.04,2023/04/08,2023/04/10,9545,Tour of Thailand,2.1,Women,THA,121337,Eun Hee Lee
147,2023_8,2023,09.04,2023/04/09,2023/04/09,8,Paris-Roubaix,1.UWT,Men,FRA,16672,Mathieu van der Poel
148,2023_13593,2023,10.04,2023/04/10,2023/04/10,13593,Ronde de Mouscron,1.1,Women,BEL,90989,Martina Fidanza
149,2023_295,2023,10.04,2023/04/10,2023/04/10,295,Giro del Belvedere,1.2U,Men,ITA,116832,Johannes Staune-Mittet
150,2023_145,2023,11.04,2023/04/11,2023/04/11,145,Paris - Camembert,1.1,Men,FRA,51269,Valentin Ferron
151,2023_296,2023,11.04,2023/04/11,2023/04/11,296,GP Palio del Recioto,1.2U,Men,ITA,139677,Tijmen Graat
152,2023_11248,2023,11.04-14.04,2023/04/11,2023/04/14,11248,Giro di Sicilia,2.1,Men,ITA,6230,Alexey Lutsenko
153,2023_77,2023,12.04,2023/04/12,2023/04/12,77,Brabantse Pijl,1.Pro,Men,BEL,37717,Dorian Godon
154,2023_9400,2023,12.04,2023/04/12,2023/04/12,9400,Brabantse Pijl,1.Pro,Women,BEL,89719,Silvia Persico
155,2023_294,2023,12.04-16.04,2023/04/12,2023/04/16,294,Tour du Loir-et-Cher,2.2,Men,FRA,75483,Tim Marsman
156,2023_15075,2023,14.04,2023/04/14,2023/04/14,15075,Classic Grand Besançon Doubs,1.1,Men,FRA,38937,Victor Lafay
157,2023_1029,2023,14.04,2023/04/14,2023/04/14,1029,Central American Championship ITT,1.2,Men,UCI,27448,Cristofer Jurado
158,2023_11501,2023,14.04,2023/04/14,2023/04/14,11501,Central American Championship ITT,1.2,Women,UCI,140652,Wendy Ducreux
159,2023_14584,2023,14.04,2023/04/14,2023/04/14,14584,Central American Championship ITT-U23,1.2U,Men,UCI,160775,Donovan Ramirez
160,2023_1285,2023,15.04,2023/04/15,2023/04/15,1285,Tour du Jura,1.1,Men,FRA,99667,Kévin Vauquelin
161,2023_428,2023,15.04,2023/04/15,2023/04/15,428,Arno Wallaard Mem.,1.2,Men,NED,38704,Rasmus Bøgh Wallin
162,2023_14585,2023,15.04,2023/04/15,2023/04/15,14585,Central American Championship RR-U23,1.2U,Men,UCI,103082,Bredio Ruiz
163,2023_42,2023,15.04,2023/04/15,2023/04/15,42,LBL Espoirs,1.2U,Men,BEL,119784,Francesco Busatto
164,2023_162,2023,16.04,2023/04/16,2023/04/16,162,Tour du Doubs,1.1,Men,FRA,2325,Jesus Herrada
165,2023_108,2023,16.04,2023/04/16,2023/04/16,108,Giro Reggio Calabria,1.1,Men,ITA,10916,Jhonatan Restrepo
166,2023_14581,2023,16.04,2023/04/16,2023/04/16,14581,GP Féminin de Chambéry,1.1,Women,FRA,89925,Victorie Guilman
167,2023_1028,2023,16.04,2023/04/16,2023/04/16,1028,Central American Championship RR,1.2,Men,UCI,27448,Cristofer Jurado
168,2023_11508,2023,16.04,2023/04/16,2023/04/16,11508,Central American Championship RR,1.2,Women,UCI,183775,Maria Sanchez
169,2023_318,2023,16.04,2023/04/16,2023/04/16,318,Tr. S. Vendemiano,1.2U,Men,ITA,97872,Anders Foldager
170,2023_9,2023,16.04,2023/04/16,2023/04/16,9,Amstel Gold Race,1.UWT,Men,NED,45992,Tadej Pogacar
171,2023_9050,2023,16.04,2023/04/16,2023/04/16,9050,Amstel Gold Race,1.WWT,Women,NED,93562,Demi Vollering
172,2023_62,2023,17.04-21.04,2023/04/17,2023/04/21,62,Tour of the Alps,2.Pro,Men,ITA,16639,Tao Geoghegan Hart
173,2023_9615,2023,18.04,2023/04/18,2023/04/18,9615,CC Pan-America ITT,CCTT,Women,UCI,89853,Amber Neben
174,2023_10,2023,19.04,2023/04/19,2023/04/19,10,La Flèche Wallonne,1.UWT,Men,BEL,45992,Tadej Pogacar
175,2023_9051,2023,19.04,2023/04/19,2023/04/19,9051,La Flèche Wallonne,1.WWT,Women,BEL,93562,Demi Vollering
176,2023_9018,2023,19.04-22.04,2023/04/19,2023/04/22,9018,Belgrade Banjaluka,2.2,Men,BIH,37387,Gregor Matija Cerne
177,2023_367,2023,19.04,2023/04/19,2023/04/19,367,CC Pan-America ITT,CCTT,Men,UCI,34760,Walter Vargas
178,2023_368,2023,19.04,2023/04/19,2023/04/19,368,CC Pan-America ITT-U23,CCUT,Men,UCI,116513,Hector Quintana
179,2023_9441,2023,22.04,2023/04/22,2023/04/22,9441,Omloop van Borsele,1.1,Women,NED,150247,Linda Zanetti
180,2023_9740,2023,22.04,2023/04/22,2023/04/22,9740,CC Pan-America RR,CCRR,Women,UCI,90100,Skylar Schneider
181,2023_366,2023,22.04,2023/04/22,2023/04/22,366,CC Pan-America RR-U23,CCU,Men,UCI,185119,Vicente Rojas Naranjo
182,2023_521,2023,23.04,2023/04/23,2023/04/23,521,Rutland - Melton Classic,1.2,Men,GBR,93695,Luke Lamperti
183,2023_11,2023,23.04,2023/04/23,2023/04/23,11,Liege-Bastogne-Liege,1.UWT,Men,BEL,84019,Remco Evenepoel
184,2023_9052,2023,23.04,2023/04/23,2023/04/23,9052,Liege-Bastogne-Liege Femmes,1.WWT,Women,BEL,93562,Demi Vollering
185,2023_365,2023,23.04,2023/04/23,2023/04/23,365,CC Pan-America RR,CCRR,Men,UCI,37419,Pier-André Côté
186,2023_9458,2023,25.04,2023/04/25,2023/04/25,9458,GP della Liberazione PINK,1.2,Women,ITA,96819,Silvia Zanardi
187,2023_312,2023,25.04,2023/04/25,2023/04/25,312,GP Liberazione,1.2U,Men,ITA,153310,Alessandro Romele
188,2023_82,2023,25.04-01.05,2023/04/25,2023/05/01,82,Tour de Bretagne,2.2,Men,FRA,9008,Simon Pellaud
189,2023_82,2023,25.04-01.05,2023/04/25,2023/05/01,82,Tour de Bretagne,2.2,Men,FRA,9008,Simon Pellaud
190,2023_12,2023,25.04-30.04,2023/04/25,2023/04/30,12,Tour de Romandie,2.UWT,Men,SUI,20147,Adam Yates
191,2023_239,2023,26.04-30.04,2023/04/26,2023/04/30,239,Tour of the Gila,2.2,Men,USA,54241,Alex Hoehn
192,2023_9548,2023,26.04-30.04,2023/04/26,2023/04/30,9548,Tour of the Gila,2.2,Women,USA,181924,Austin Killips
193,2023_9549,2023,27.04-30.04,2023/04/27,2023/04/30,9549,Gracia Orlová,2.2,Women,CZE,142757,Jenny Rissveds
194,2023_153,2023,28.04-30.04,2023/04/28,2023/04/30,153,Vuelta a Asturias,2.1,Men,ESP,27271,Lorenzo Fortunato
195,2023_17932,2023,29.04,2023/04/29,2023/04/29,17932,reVolta,1.1,Women,ESP,134451,Claire Steels
196,2023_16506,2023,29.04,2023/04/29,2023/04/29,16506,Leiedal Koerse,1.2,Women,BEL,167145,Julia Kopecky
197,2023_314,2023,29.04-03.05,2023/04/29,2023/05/03,314,Carpathian Race,2.2U,Men,POL,114583,Gal Glivar
198,2023_314,2023,29.04-03.05,2023/04/29,2023/05/03,314,Carpathian Race,2.2U,Men,POL,114583,Gal Glivar
199,2023_9460,2023,29.04-30.04,2023/04/29,2023/04/30,9460,Festival Elsy Jacobs,2.Pro,Women,LUX,136057,Ally Wollaston
200,2023_1047,2023,30.04,2023/04/30,2023/04/30,1047,GP Vorarlberg,1.2,Men,AUT,22341,Michael Boros
201,2023_535,2023,01.05,2023/05/01,2023/05/01,535,Circuito del Porto,1.2,Men,ITA,103403,Mattia Pinazzi
202,2023_252,2023,01.05,2023/05/01,2023/05/01,252,Eschborn-Frankfurt,1.2U,Men,GER,100034,Joshua Gudnitz
203,2023_35,2023,01.05,2023/05/01,2023/05/01,35,Eschborn-Frankfurt,1.UWT,Men,GER,16610,Søren Kragh Andersen
204,2023_9058,2023,01.05-07.05,2023/05/01,2023/05/07,9058,La Vuelta Femenina,2.WWT,Women,ESP,0,Future Race
205,2023_513,2023,02.05-06.05,2023/05/02,2023/05/06,513,Tour of Hellas,2.1,Men,GRE,0,Future Race
206,2023_6156,2023,02.05-06.05,2023/05/02,2023/05/06,6156,Tour du Bénin,2.2,Men,BEN,0,Future Race
207,2023_3672,2023,04.05-07.05,2023/05/04,2023/05/07,3672,Vuelta a Catamarca,2.2,Men,ARG,0,Future Race
208,2023_9731,2023,05.05,2023/05/05,2023/05/05,9731,La Classique Morbihan,1.1,Women,FRA,0,Future Race
209,2023_9732,2023,06.05,2023/05/06,2023/05/06,9732,GP de Plumelec-Morbihan,1.1,Women,FRA,0,Future Race
210,2023_14582,2023,06.05,2023/05/06,2023/05/06,14582,GP Eco-Struct,1.1,Women,BEL,0,Future Race
211,2023_577,2023,06.05,2023/05/06,2023/05/06,577,Ronde van Overijssel,1.2,Men,NED,0,Future Race
212,2023_73,2023,06.05,2023/05/06,2023/05/06,73,Sundvolden GP,1.2,Men,NOR,0,Future Race
213,2023_180,2023,06.05,2023/05/06,2023/05/06,180,GP de Plumelec-Morbihan,1.Pro,Men,FRA,0,Future Race
214,2023_13,2023,06.05-28.05,2023/05/06,2023/05/28,13,Giro d'Italia,2.UWT,Men,ITA,0,Future Race
215,2023_9613,2023,07.05,2023/05/07,2023/05/07,9613,Trofee Maarten Wynants,1.1,Women,BEL,0,Future Race
216,2023_554,2023,07.05,2023/05/07,2023/05/07,554,Flèche Ardennaise,1.2,Men,BEL,0,Future Race
217,2023_49,2023,07.05,2023/05/07,2023/05/07,49,Ringerike GP,1.2,Men,NOR,0,Future Race
218,2023_41,2023,07.05,2023/05/07,2023/05/07,41,Paris - Roubaix Espoirs,1.2U,Men,FRA,0,Future Race
219,2023_148,2023,07.05,2023/05/07,2023/05/07,148,Tro-Bro Leon,1.Pro,Men,FRA,0,Future Race
220,2023_10433,2023,09.05-13.05,2023/05/09,2023/05/13,10433,Bretagne Ladies Tour,2.1,Women,FRA,0,Future Race
