"","season_race","season","race","stage","distance","event_data","event","rider_name","event_rank","kom_points","intermediate_points"
"398","2021 Tour De France","2021","Tour De France","17",113.4,"Sprint | Bagnères-de-Luchon (113.4 km)","Intermediate Sprint"," Dries Devenyns","15","0","1"
"399","2021 Tour De France","2021","Tour De France","17",129.1,"KOM Sprint (1) Col de Peyresourde (129.1 km)","KOM Sprint Cat1"," Anthony Turgis","1","10","0"
"400","2021 Tour De France","2021","Tour De France","17",129.1,"KOM Sprint (1) Col de Peyresourde (129.1 km)","KOM Sprint Cat1"," Anthony Perez","2","8","0"
"401","2021 Tour De France","2021","Tour De France","17",129.1,"KOM Sprint (1) Col de Peyresourde (129.1 km)","KOM Sprint Cat1"," Dorian Godon","3","6","0"
"402","2021 Tour De France","2021","Tour De France","17",129.1,"KOM Sprint (1) Col de Peyresourde (129.1 km)","KOM Sprint Cat1"," Maxime Chevalier","4","4","0"
"403","2021 Tour De France","2021","Tour De France","17",129.1,"KOM Sprint (1) Col de Peyresourde (129.1 km)","KOM Sprint Cat1"," Lukas Pöstlberger","5","2","0"
"404","2021 Tour De France","2021","Tour De France","17",129.1,"KOM Sprint (1) Col de Peyresourde (129.1 km)","KOM Sprint Cat1"," Danny van Poppel","6","1","0"
"405","2021 Tour De France","2021","Tour De France","17",149.5,"KOM Sprint (1) Col de Val Louron-Azet (149.5 km)","KOM Sprint Cat1"," Anthony Perez","1","10","0"
"406","2021 Tour De France","2021","Tour De France","17",149.5,"KOM Sprint (1) Col de Val Louron-Azet (149.5 km)","KOM Sprint Cat1"," Dorian Godon","2","8","0"
"407","2021 Tour De France","2021","Tour De France","17",149.5,"KOM Sprint (1) Col de Val Louron-Azet (149.5 km)","KOM Sprint Cat1"," Anthony Turgis","3","6","0"
"408","2021 Tour De France","2021","Tour De France","17",149.5,"KOM Sprint (1) Col de Val Louron-Azet (149.5 km)","KOM Sprint Cat1"," Wout Poels","4","4","0"
"409","2021 Tour De France","2021","Tour De France","17",149.5,"KOM Sprint (1) Col de Val Louron-Azet (149.5 km)","KOM Sprint Cat1"," Nairo Quintana","5","2","0"
"410","2021 Tour De France","2021","Tour De France","17",149.5,"KOM Sprint (1) Col de Val Louron-Azet (149.5 km)","KOM Sprint Cat1"," Tadej Pogačar","6","1","0"
"411","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," Tadej Pogačar","1","40","0"
"412","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," Jonas Vingegaard","2","30","0"
"413","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," Richard Carapaz","3","24","0"
"414","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," David Gaudu","4","20","0"
"415","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," Ben O'Connor","5","16","0"
"416","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," Wilco Kelderman","6","12","0"
"417","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," Pello Bilbao","7","8","0"
"418","2021 Tour De France","2021","Tour De France","17",178.4,"KOM Sprint (HC) Col du Portet (178.4 km)","KOM Sprint CatHC"," Sergio Higuita","8","4","0"
"419","2021 Tour De France","2021","Tour De France","18",10.6,"KOM Sprint (4) Côte de Notre-Dame de Piétat (10.6 km)","KOM Sprint Cat4"," Christopher Juul-Jensen","1","1","0"
"420","2021 Tour De France","2021","Tour De France","18",54.6,"KOM Sprint (4) Côte de Loucrup (54.6 km)","KOM Sprint Cat4"," Julian Alaphilippe","1","1","0"
"421","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Julian Alaphilippe","1","0","20"
"422","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Matej Mohorič","2","0","17"
"423","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Pierre-Luc Périchon","3","0","15"
"424","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Sean Bennett","4","0","13"
"425","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Mark Cavendish","5","0","11"
"426","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Michael Mørkøv","6","0","10"
"427","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Michael Matthews","7","0","9"
"428","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Luka Mezgec","8","0","8"
"429","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Sonny Colbrelli","9","0","7"
"430","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Jasper Philipsen","10","0","6"
"431","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Thomas De Gendt","11","0","5"
"432","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Kasper Asgreen","12","0","4"
"433","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Pierre Rolland","13","0","3"
"434","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Omar Fraile","14","0","2"
"435","2021 Tour De France","2021","Tour De France","18",62.7,"Sprint | Pouzac (62.7 km)","Intermediate Sprint"," Toms Skujiņš","15","0","1"
"436","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," Pierre Latour","1","20","0"
"437","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," David Gaudu","2","15","0"
"438","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," Ruben Guerreiro","3","12","0"
"439","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," Wout Poels","4","10","0"
"440","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," Omar Fraile","5","8","0"
"441","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," Michael Woods","6","6","0"
"442","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," Wout van Aert","7","4","0"
"443","2021 Tour De France","2021","Tour De France","18",94.1,"KOM Sprint (HC) Col du Tourmalet (94.1 km)","KOM Sprint CatHC"," Jonas Vingegaard","8","2","0"
"444","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Tadej Pogačar","1","40","0"
"445","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Jonas Vingegaard","2","30","0"
"446","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Richard Carapaz","3","24","0"
"447","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Enric Mas","4","20","0"
"448","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Dan Martin","5","16","0"
"449","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Sepp Kuss","6","12","0"
"450","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Sergio Higuita","7","8","0"
"451","2021 Tour De France","2021","Tour De France","18",129.7,"KOM Sprint (HC) Luz Ardiden (129.7 km)","KOM Sprint CatHC"," Ben O'Connor","8","4","0"
"452","2021 Tour De France","2021","Tour De France","19",12.1,"KOM Sprint (4) Côte de Bareille (12.1 km)","KOM Sprint Cat4"," Jonas Rutsch","1","1","0"
"453","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Georg Zimmermann","1","0","20"
"454","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Franck Bonnamour","2","0","17"
"455","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Matej Mohorič","3","0","15"
"456","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Jonas Rutsch","4","0","13"
"457","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Simon Clarke","5","0","11"
"458","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Julien Bernard","6","0","10"
"459","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Michael Matthews","7","0","9"
"460","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Sonny Colbrelli","8","0","8"
"461","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Luka Mezgec","9","0","7"
"462","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Mark Cavendish","10","0","6"
"463","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Mattia Cattaneo","11","0","5"
"464","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Silvan Dillier","12","0","4"
"465","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Davide Ballerini","13","0","3"
"466","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Jasper Philipsen","14","0","2"
"467","2021 Tour De France","2021","Tour De France","19",54.1,"Sprint | Saint-Sever (54.1 km)","Intermediate Sprint"," Michael Mørkøv","15","0","1"
"468","2021 Tour De France","2021","Tour De France","21",7.4,"KOM Sprint (4) Côte des Grès (7.4 km)","KOM Sprint Cat4"," Mikkel Bjerg","1","1","0"
"469","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Stefan Bissegger","1","0","20"
"470","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Patrick Konrad","2","0","17"
"471","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Harry Sweeny","3","0","15"
"472","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Mark Cavendish","4","0","13"
"473","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Michael Mørkøv","5","0","11"
"474","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Michael Matthews","6","0","10"
"475","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Luka Mezgec","7","0","9"
"476","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Julian Alaphilippe","8","0","8"
"477","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Sonny Colbrelli","9","0","7"
"478","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Davide Ballerini","10","0","6"
"479","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Luke Durbridge","11","0","5"
"480","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Bruno Armirail","12","0","4"
"481","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Mark Donovan","13","0","3"
"482","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Dries Devenyns","14","0","2"
"483","2021 Tour De France","2021","Tour De France","21",68.3,"Sprint | Paris - Hauts des Champs Élysées (68.3 km)","Intermediate Sprint"," Petr Vakoč","15","0","1"
