"","season_race","season","race","stage","distance","event","rider_name","event_rank","kom_points","intermediate_points"
"616","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Łukasz Wiśniowski","12","0","4"
"716","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Geraint Thomas","13","0","3"
"816","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Yves Lampaert","14","0","2"
"916","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Wout Poels","15","0","1"
"1016","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Jan Tratnik","2","0","17"
"1120","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Tom Scully","3","0","15"
"1218","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Omar Fraile","4","0","13"
"1315","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Dries Devenyns","5","0","11"
"1416","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Thomas De Gendt","6","0","10"
"1515","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," George Bennett","7","0","9"
"1616","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Maxime Monfort","8","0","8"
"1713","2019 Tour De France","2019","Tour De France",21,NA,"Intermediate Sprint"," Enric Mas","9","0","7"
